channel_id,title,description,country,channel_published_at,uploads_playlist_id,topic_categories
UC4UaWbUUwVvCxWNqhb4f16Q,Apé Amma,"3.3 Million subscribers and 620 million people watched and learned Sri lankan cooking. I'm a 67 years old 'first class' trained graduate Home science teacher, I started this channel to share Sri lankan & International healthy & tasty recipes, using the experience gained throughout my life being a teacher. I'll be sharing not only Sri Lankan recipes but also other recipes that are close to Sri Lankan's taste buds, and about medicinal ayurvedic plants that cure many non communicable diseases. Thank you! Ape Amma
සබ්ස්ක්‍රයිබර්ස් මිලියන 3.3යි. මිලියන 620ක් නරඹා උයන්න ඉගෙන ගත් චැනලය. ශ්‍රී ලංකා රජයේ ගුරු සේවය(ɪ) ගුරුවරියක් වන මා පාසලේ පන්ති කාමරයෙන් ඔබ්බට ගොස් අන්තර්ජාලය ඔස්සේ ඔබේ නිවසට පැමිනෙණ්නේ මගේ ගුරු ජීවිතයේ වගේම ළමා කාලයේ සිට මෙතෙක් මා ලැබු අත්දැකීම්, දැනුම, ආකල්ප කුසලතා ඹබ සමග බෙදා ගන්නයි. 'ශ්‍රී ලංකිකයන්ගේ දිවට හුරු' වෙනත් රටවල් වල ආහාරත්, ආයුර්වේද ඖෂධ සහ පැලෑටි ගැනත් මෙම චැනල් එකෙන් කියලා දෙනවා.මම හිතනවා ශ්‍රී ලාංකිකයන්ට මගේ චැනල් එක අලුත් අත්දැකීමක් වෙයි කියලා.ස්තුතියි!
",LK,2016-04-15T18:11:33Z,UU4UaWbUUwVvCxWNqhb4f16Q,https://en.wikipedia.org/wiki/Food|https://en.wikipedia.org/wiki/Lifestyle_(sociology)
UCQTcNhAZidy1i9wwmdgf2Lw,ITN Sri Lanka,"The Independent Television Network (ITN) The Pioneer Television Station in Sri Lanka since 1979. With Thirty years behind us, local programs are given pride of place catering to all strata of society News and Current Affairs, Tele-Dramas, Discussion, Educational, Entertainment, Magazines, and Sports are given pride of place. Special emphasis is also given to Children's Women's and religious programs.

* Our Vision - The most creative media organization in South East Asia.
* Our Mission - Uplifting people's lives with news and programs that inform, inspire, educate, and entertain in keeping with Sri Lankan cultural values.
* Our Values - 
• We are patriotic and Independent.
• We are honest and trustworthy
• We treat our audiences with due respect
• We respect all human beings
• We respect Professionalism
",LK,2018-03-02T06:03:22Z,UUQTcNhAZidy1i9wwmdgf2Lw,https://en.wikipedia.org/wiki/Film|https://en.wikipedia.org/wiki/Entertainment|https://en.wikipedia.org/wiki/Television_program
UCgnFSj7jQffD5V5m05j4dPw,Newsfirst Sri Lanka,"Sri Lankas first international news channel, broadcasting in Sinhalese, Tamil and English across three TV channels, four radio channels and streamed live at www.newsfirst.lk.",LK,2011-07-02T17:12:55Z,UUgnFSj7jQffD5V5m05j4dPw,https://en.wikipedia.org/wiki/Politics|https://en.wikipedia.org/wiki/Society
UCRtAu8OVYVfuNZmTV-Ug0zA,Buddhism,"Let's Learn Buddhism in simple English

Shraddha TV

Mahamevnawa Bodhignana Monastery,
Hewagama, Kaduwela, Sri Lanka.

info@shraddha.lk
www.shraddha.lk

(+94) 112 571 471

",LK,2013-06-04T02:29:09Z,UURtAu8OVYVfuNZmTV-Ug0zA,https://en.wikipedia.org/wiki/Lifestyle_(sociology)|https://en.wikipedia.org/wiki/Religion|https://en.wikipedia.org/wiki/Society
UCuc40qp1ZKB_ZbDw9iml8Kg,Imsachin,"Hi friends, This channel Only to entertain you completely. Not to hurt anyone’s mind. Give as much support as well.

To talk to and any promotions with us😀:  📧kk8628229@gmail.com 
",LK,2020-05-12T05:47:48.361322Z,UUuc40qp1ZKB_ZbDw9iml8Kg,https://en.wikipedia.org/wiki/Entertainment
UCDm4BW0Q5d-zASSuRyvPGXw,Wishma Lokaya,"Hey peeps, If you're in search of a cyber knowledge bar to get yourself stock up on different flavors, we got the best recipes and menu to serve with your desired taste from the widest array.  Bringing you the right mix of scientific discoveries, space exploration, Health & Fitness , Tech Videos , Relationship Tips , Mysteries of the world and all these at your fingertips with high quality virtual/visual effects. 

Our community is rich with over 2,300,000 members & growing all with knowledge tasters. 

Let us quench your thirst while tingling your taste buds with every drop you sip from our amazing blends, which you may find yourself lacking.

Contact Us -  0703978326 / 0702190209
",LK,2016-07-01T05:02:36Z,UUDm4BW0Q5d-zASSuRyvPGXw,https://en.wikipedia.org/wiki/Society
UCVd1jcy6wKFzfQ5E-Txtg-w,Fury Goal FC,"Welcome to Fury Goal! ⚽️🏆

Every video is crafted with passion to bring you the best football content.
My goal is to make each moment exciting, unforgettable, and enjoyable for my viewers.

About Me:

I started this YouTube channel to support my education at university while sharing my love for football.

For inquiries or copyright/removal requests, please email furygoal9@gmail.com.
I’ll be happy to cooperate and will respond within 24 hours!

Want to submit your own content? Reach out to furygoal9@gmail.com!

Thank you for your support!",LK,2025-03-16T07:12:06.194685Z,UUVd1jcy6wKFzfQ5E-Txtg-w,https://en.wikipedia.org/wiki/Lifestyle_(sociology)|https://en.wikipedia.org/wiki/Sport|https://en.wikipedia.org/wiki/Association_football
UCmqflTSJ6911aCrnaWIXxsA,The Voice Sri Lanka ,"The Voice Sri Lanka

The Voice One of the most successful reality TV formats in the world. Extremely successful in 180 countries. 
SRI LANKA’S NEWEST TELEVISION EXPERIENCE - The Voice Sri Lanka

The Voice is an international reality television singing competition franchise of Dutch origin. It is based on the reality singing competition The Voice of Holland, which was originally created by Dutch television producer John de Mol. The show's format features five stages of competition: producers' auditions, blind auditions, battle rounds, knockouts (since 2012), and live performance shows.

A combined 438 singers have won The Voice, The Voice Kids, The Voice Teens and The Voice Senior in 145 countries/regions. Each winner is given a recording contract, a monetary prize, and a title as that nation's ""Voice"". 

#TheVoiceSL #SirasaTV #TheVoiceSriLanka #TheVoiceSL #TheVoiceLK #VoiceSriLanka #VoiceLK #lka
",LK,2019-10-23T12:20:15.115302Z,UUmqflTSJ6911aCrnaWIXxsA,https://en.wikipedia.org/wiki/Entertainment|https://en.wikipedia.org/wiki/Television_program|https://en.wikipedia.org/wiki/Music|https://en.wikipedia.org/wiki/Music_of_Asia
UC6lDrxy3lS4LNRuuBtryqpQ,M.R kitchen,"Hi,
Im Madu Rajapaksha. This is my effort to bring you the method of delicious food in an easy way with less time and I make local food without artificial flavors.",LK,2019-08-23T18:31:03Z,UU6lDrxy3lS4LNRuuBtryqpQ,https://en.wikipedia.org/wiki/Lifestyle_(sociology)|https://en.wikipedia.org/wiki/Food
UCYFn7BOOlmL21iNJ6q5IDfg,Lochi,This is the official YouTube channel of Lochana Jayakodi,LK,2018-10-15T16:26:52Z,UUYFn7BOOlmL21iNJ6q5IDfg,https://en.wikipedia.org/wiki/Film|https://en.wikipedia.org/wiki/Entertainment|https://en.wikipedia.org/wiki/Lifestyle_(sociology)
UCOLdaAcrdzYY3ug15EuuFAg,The Rustic Kitchen & Tranquil Village,"We are in a Small village in Sri Lanka. me and my mother going to show our day-to-day life and our cooking recipes and gardening etc. 
this is our village kitchen and this is how our life going.  Subscribe to watch our videos. 

For business inquires, please contact: trktvmarketing@gmail.com

",LK,2023-04-26T12:05:07.592064Z,UUOLdaAcrdzYY3ug15EuuFAg,https://en.wikipedia.org/wiki/Lifestyle_(sociology)|https://en.wikipedia.org/wiki/Food
UCMQYRNX1Fg-HJ8Ey7Z3WPrA,"Wasthi Productions ""වස්ති""","Wasthi Productions ""වස්ති""  -  සම්ප්‍රදාය අතික්‍රමණයට..!! 

",LK,2016-02-20T09:12:42Z,UUMQYRNX1Fg-HJ8Ey7Z3WPrA,https://en.wikipedia.org/wiki/Film|https://en.wikipedia.org/wiki/Entertainment|https://en.wikipedia.org/wiki/Music_of_Asia|https://en.wikipedia.org/wiki/Music
UCaK7Q39swdiSrp1TBgOi7QQ,Tom like yt,"
WELCOME MY LOVELY FRIENDS 🤗❤️


❄️ IAM ILAN, IAM 22 YEARS OLD 

* I SHOW MY PRESENCE IN MY EVERY SINGLE VIDEO.
5 VIDEOS ON IT DAILY, IN THOSE 5 VIDEOS I SHOW MY 5 DIFFERENT PRESENCES.    THOSE VIDEOS ARE SHOWING  (SIGMA, RESPECTFUL, SADNESS, HAPPINESS, EXCITEMENT) 
EVERY VIDEO I POST HAS A LESSON FOR YOU 💯👍. 
 
I HOPE EVERYONE UNDERSTANDS MY EVERY SINGLE VIDEO. 🔥😎


IAM WOKE UP TO THE REALITY 😎 AND YOU? 🤔 🤔 


COME ON COME ON YOU CAN DO EVERYTHING 🔥🔥💯💯


",LK,2022-01-08T08:03:06.460082Z,UUaK7Q39swdiSrp1TBgOi7QQ,https://en.wikipedia.org/wiki/Lifestyle_(sociology)|https://en.wikipedia.org/wiki/Pet|https://en.wikipedia.org/wiki/Entertainment
UCJsN1Mmx4GRA6sCYdfKqpSQ,Sandaru Sathsara,,LK,2020-10-22T22:23:13.804338Z,UUJsN1Mmx4GRA6sCYdfKqpSQ,https://en.wikipedia.org/wiki/Lifestyle_(sociology)|https://en.wikipedia.org/wiki/Music_of_Asia|https://en.wikipedia.org/wiki/Music
UCc8W1zUTmtNqXIhOHxPIAuw,Akalanka Ekanayake,"Our mission is to create lessons worth sharing – to feed and expand your curiosity! Our channel explores the latest in technology, artificial intelligence, programming, and coding. With in-depth tutorials, step-by-step guides, and insights into groundbreaking tools, we’re here to keep you at the forefront of the tech world.

Beyond tech, we share short reaction videos highlighting uplifting acts of humanity, inspiring us all to work toward a kinder, better world. Join us in learning, growing, and making a difference!

Subscribe and become part of a community dedicated to knowledge, innovation, and positive impact.
",LK,2021-08-05T20:00:53.907347Z,UUc8W1zUTmtNqXIhOHxPIAuw,https://en.wikipedia.org/wiki/Technology|https://en.wikipedia.org/wiki/Lifestyle_(sociology)|https://en.wikipedia.org/wiki/Hobby
UC8irIP66QzlZNVgqe4vwN9g,MADU MEE,"Ayubowan! Hello, Music lovers are welcome to my channel, I am always here to share with you all that I know about music, So I invite you to join me. My name is Nethum Madushan. ",LK,2020-02-11T08:20:51.731189Z,UU8irIP66QzlZNVgqe4vwN9g,https://en.wikipedia.org/wiki/Music|https://en.wikipedia.org/wiki/Music_of_Asia
UC3C6rQHX8pkjSyOm-620k3w,Marvel Tech,"Greetings! Welcome to the Marvel Tech channel. 

The primary focus of this channel is to provide information and insights into agricultural machinery, construction equipment, tools, cutting-edge technologies, innovative inventions, and notable projects. 

For any inquiries or questions, please feel free to contact us at marveltech78@gmail.com. We value your feedback and are committed to assisting you in any way we can.
",LK,2021-01-15T18:40:02.524763Z,UU3C6rQHX8pkjSyOm-620k3w,https://en.wikipedia.org/wiki/Lifestyle_(sociology)|https://en.wikipedia.org/wiki/Vehicle|https://en.wikipedia.org/wiki/Knowledge
UCGjZJ0TN1PlJIEwJXKNlm6w,HandiWorks,"Welcome to HandiWorks, your home for high-end hand embroidery and slow-fashion inspiration. On this channel, I share detailed tutorials on how to elevate your wardrobe—transforming plain dresses, sleeves, and bodices into designer pieces using traditional and modern stitching techniques. If you love the idea of creating one-of-a-kind, handmade garments, you’ve found the right place. Don’t forget to subscribe and join our creative community!
",LK,2014-09-22T15:32:19Z,UUGjZJ0TN1PlJIEwJXKNlm6w,https://en.wikipedia.org/wiki/Hobby|https://en.wikipedia.org/wiki/Lifestyle_(sociology)|https://en.wikipedia.org/wiki/Fashion
UCa5uVqVCpNGdqkZ4FXjpwig,Cricket Insight Hindi By Amit Majithia,"🏏 Cricket Insight Hindi – By Amit Majithia

Cricket Insight Hindi is your one-stop destination for Hindi cricket news, match analysis, pitch reports, team previews, and data-based cricket insights.
From IPL, World Cup, T20 leagues, Test cricket, ODI matches, match predictions, we break every game down in simple Hindi so every cricket fan can understand the real story.

🔍 What You’ll Get on This Channel:

✔ Match previews & post-match analysis
✔ Pitch & weather report analysis
✔ Playing XI & match prediction
✔ Data-driven cricket breakdowns
✔ Honest, unbiased cricket opinions

🧠 Why Follow Cricket Insight Hindi?

Because cricket is not just about runs and wickets — it’s about strategy, numbers, conditions, and mindset. We convert complex cricket data into easy Hindi insights for fans who want to think like a cricket expert.

📍 If you love cricket with logic, facts, and insight, this channel is for you.
👉 Subscribe now and join the growing community of smart Hindi cricket fans.
",LK,2025-05-04T14:11:05.824251Z,UUa5uVqVCpNGdqkZ4FXjpwig,https://en.wikipedia.org/wiki/Entertainment|https://en.wikipedia.org/wiki/Cricket|https://en.wikipedia.org/wiki/Sport
UC9SnUR9ewkPk9h45L0uY6SQ,CocoBunny,"Welcome to CocoBunny, your ultimate destination for hilarious and adorable animal videos! 🐰🐾 From playful puppies and mischievous cats to quirky bunnies and exotic wildlife, we bring you the funniest and most heartwarming moments from the animal kingdom.

Laugh out loud as you watch funny animal fails, cute pet antics, and epic moments that will brighten your day. Whether you're a dog lover, a cat enthusiast, or just someone who enjoys a good laugh, there's something here for everyone!

Subscribe now for regular uploads of entertaining animal clips and share the joy with your friends and family. 🐱😻

",LK,2024-12-15T04:27:26.311688Z,UU9SnUR9ewkPk9h45L0uY6SQ,https://en.wikipedia.org/wiki/Lifestyle_(sociology)|https://en.wikipedia.org/wiki/Entertainment|https://en.wikipedia.org/wiki/Pet
UCwKYO2L9xzLtWhSv4ncYCIA,Nilame,"ආයුබෝවන් සියළුම දෙනාට 

""නිළමේ"" ශ්‍රී ලංකාවේ විශේෂිත දේවල් හොයාගෙනයන කෙනෙක්.අපේ රටේ තියෙන විශේෂිත තැන්, විශේෂිත දක්‍ෂතා/හැකියාවන් තිබෙන අය,අලුත් අලුත් දේ කරන අය ලෝකෙටම පෙන්නන්න අපි ඉදිරිපත් වෙනවා.ඔබත් සබ්ස්ක්‍රයිබ් කරලා එකතු වෙන්න නිළමේ එක්ක අලුත් විශේෂ ලාංකික අපේ දේවල් බලන්න.

Wellcome Everyone

""Nilame"" is a channel that always try to find new speciel places and speciel people in sri lanka, Speciely looking for Sri lanka Heritages and introduce them to the world.So join with us Subscribe now then you also can see the speciel things

- Nilame -",LK,2019-04-21T04:18:30Z,UUwKYO2L9xzLtWhSv4ncYCIA,https://en.wikipedia.org/wiki/Society|https://en.wikipedia.org/wiki/Religion
UCtTgIrVyMl405cDQEO55AEg,We are raskol,🔥Nan Youtuberda...🔥ithanda En Lebel...🔥,LK,2022-04-19T16:41:05.706284Z,UUtTgIrVyMl405cDQEO55AEg,https://en.wikipedia.org/wiki/Entertainment|https://en.wikipedia.org/wiki/Film
UCs_mHlm5_C82W5WCIJaSMbQ,Vishwakarma | විශ්වකර්ම,"Welcome to Vishwakarma | විශ්වකර්ම – your reliable source for bridging ancient wisdom and modern life.

We bring you the secrets of Astrology, Universal Energy, traditional health knowledge, and in-depth News and Political analysis needed to illuminate your path to success and awareness.

Our Content Focus:

🔮 Authentic Astrology & Predictions: Horoscope readings, planetary transits (Graha Maru), and auspicious times.
📢 News & Politics: Current affairs, political predictions, and social analysis.
✨ Universal Energy Secrets: Techniques to align with cosmic power for progress and positivity.
🌿 Traditional Wellness: Ancient secrets for health and beauty.

Contact & Company Details:

Founder: Dinesh Suranga
Company: Vishwakarma (Pvt) Ltd
Contact: If you wish to contact me, don't hesitate to call +94 777 006 069

Subscribe now and awaken the power within you! 🙏
",LK,2014-12-13T14:47:42Z,UUs_mHlm5_C82W5WCIJaSMbQ,https://en.wikipedia.org/wiki/Society
UCJbxRq_IlWyzvB9KK0Mrs8A,Ratta,"This is the official channel Youtube channel of Ratta
For business enquiries - 0776736500
",LK,2012-01-26T17:16:27Z,UUJbxRq_IlWyzvB9KK0Mrs8A,https://en.wikipedia.org/wiki/Film|https://en.wikipedia.org/wiki/Entertainment
UCU57IJhYK4v_XCOo4khbBxA,Harindra Jayalal,"Official youtube channel of Harindra Jayalal: A veteran TV news and program presenter/Media trainer/ Lecturer/ former director of news in Swarnavahini/ Founder and director of Best Choice Tours and Travels (PVT) Ltd and Best Voice Media and Language Academy. 

For inquiries and suggestions please contact us through 
emails: harindra28@hotmail.com 
Face book: harindra jayalal (Profile and fan page)


",LK,2018-03-31T15:28:59Z,UUU57IJhYK4v_XCOo4khbBxA,https://en.wikipedia.org/wiki/Society
UCVwbUjoiTUXxeVjsxW9Kwng,Desawana Music,"Desawana Music is the best place to find popular SRI LANKAN MUSIC online.

Do you want your Music Video to be featured on the channel? Do you have any questions or requests?
Don't hesitate to Contact Us!

Email: contact@desawanamusic.com
Call: 077 9840660",LK,2017-02-25T16:52:36Z,UUVwbUjoiTUXxeVjsxW9Kwng,https://en.wikipedia.org/wiki/Music_of_Asia|https://en.wikipedia.org/wiki/Music|https://en.wikipedia.org/wiki/Pop_music
UCT83ymyAGm7Gnk_4ifxjxIA,Sri Lanka Rupavahini,"Sri Lanka Rupavahini (TV) Corporation, the State Television stands for the benefit of all Sri Lankans. We do recognise the peoples diversity of expectations, values , interests and needs. We reach our target groups in Sinhala, Tamil and English languages.
The Sri Lanka Rupavahini Corporation, the National Television Network was commissioned on 15th February 1982. Its studio complex is situated in Colombo the commercial capital of Sri Lanka.  

Our Vision is  The continuing Audio Visual Icon of Sri Lankans. Our Mission is With commitment and unity,creating timely, meaningful and intuitive programmes rich in knowledge, entertainment and education and disseminating them chiseled with state-of-the-art technology exceeding the expectations of Sri Lankans everywhere.  

Address : 
P.O. Box 2204, Independance Square
Colombo - 07
Sri Lanka00700 

Contact: 
Tel - +94 112 50 10 50
Fax -+94 112 58 09 29 





 
",LK,2017-09-21T05:46:49Z,UUT83ymyAGm7Gnk_4ifxjxIA,https://en.wikipedia.org/wiki/Film|https://en.wikipedia.org/wiki/Television_program|https://en.wikipedia.org/wiki/Entertainment
UCcpvzu2fNDZyKkQ6tETbHLw,Dazzling Divine,"Hey guys, welcome to our channel. We do 3D animation, game development, music and many more. 

We regularly upload 3D animation short films, tutorials and game development videos. 

Subscribe us now!

Software that we use to create these content:
Maya: Modelling, Animation, Rigging, Simulation and Rendering
Houdini: Modelling and Simulation Effects
Nuke: Compositing
Unreal Engine: Environment Design, Rendering
",LK,2017-03-16T16:42:47Z,UUcpvzu2fNDZyKkQ6tETbHLw,https://en.wikipedia.org/wiki/Video_game_culture|https://en.wikipedia.org/wiki/Entertainment|https://en.wikipedia.org/wiki/Film
UCEa6e_J_Xs_GKCzG8Eq15Xw,SGM Tunes,"Premier Sri Lankan Record Label.


Connect with us
sgm@sgmtunes.com",LK,2013-08-01T07:33:07Z,UUEa6e_J_Xs_GKCzG8Eq15Xw,https://en.wikipedia.org/wiki/Music_of_Asia|https://en.wikipedia.org/wiki/Music|https://en.wikipedia.org/wiki/Pop_music
UCc30sTBdN9LRSxEuHaXV_bQ,Siyatha TV,"The First and the Only 4K ULTRA HD Television channel in Sri Lanka - Siyatha TV - ලංකාවේ ප්‍රථම සහ එකම 4K ULTRA HD නාලිකාව - සියත tv  
-
Access our Videos as soon as we upload them - Subscribe to our youtube channel today from here 👉  https://goo.gl/Lf9SPh 👈

වීඩියෝ දැමු සැනින් දැනගැනීමට අපගේ youtube channel එක දැන්ම Subscribe කරන්න මෙම link එක ක්ලික් කරන්න 
👉👉  https://goo.gl/Lf9SPh 👈👈

-
Watch all episodes - http://siyathatv.lk/
-
Like us on facebook - https://www.facebook.com/siyathatv/
-
Follow us on Instagram - https://www.instagram.com/siyathatv/
-
Follow us on Twitter - https://twitter.com/Siyatha_TV
-
Subscribe on Youtube - https://goo.gl/Lf9SPh 
-
Watch Siyatha TV Online on http://siyathatv.lk/live/
-
#SiyathaTV #SriLanka

® Property of Voice of Asia Network (Pvt) Ltd - The Largest Media Network in Sri Lanka 
www.voa.lk
",LK,2014-08-04T03:41:02Z,UUc30sTBdN9LRSxEuHaXV_bQ,https://en.wikipedia.org/wiki/Society|https://en.wikipedia.org/wiki/Television_program|https://en.wikipedia.org/wiki/Entertainment|https://en.wikipedia.org/wiki/Film
UCw6-MbidLyoWQlvb9FFz5xQ,Mage thaththa,"Ayubowan 🙏.. 

Hellow this is my youtube chanal.
My name is darmasena
Am 64 years old. 
I will tell you my experience,skills and inventions from my childhood till now through videos
Thnk you.

For business inquiries,please contact dsena2426@gmail.com",LK,2023-08-11T07:00:17.05511Z,UUw6-MbidLyoWQlvb9FFz5xQ,https://en.wikipedia.org/wiki/Hobby|https://en.wikipedia.org/wiki/Lifestyle_(sociology)|https://en.wikipedia.org/wiki/Cricket
UCkuoWSLw-SNu8dvVCU0MjMQ,Lakai Sikai - ලකයි සිකයි,Relax with us,LK,2017-06-15T07:59:18Z,UUkuoWSLw-SNu8dvVCU0MjMQ,https://en.wikipedia.org/wiki/Film|https://en.wikipedia.org/wiki/Entertainment
UCfYQW_0xEVwKfePgWRxTYhg,Janai Priyai,"The Official YouTube Channel of Sri Lankan Creators “Janai Priyai” 🇱🇰

🎬 Entertainment | Comedy | Lifestyle
📈 Bringing you quality content with a Sri Lankan vibe

📩 For Business & Collaborations:
📞 0777 24 3925
📧 janaipriyai.official@gmail.com
",LK,2016-06-26T00:03:42Z,UUfYQW_0xEVwKfePgWRxTYhg,https://en.wikipedia.org/wiki/Entertainment|https://en.wikipedia.org/wiki/Film
UC2sO_F_Ky4LIAUtSJYXqBDA,Hiru TV  LIVE,"A new revolution begins. The first and only digitally-enabled HD television channel in the country, Hiru TV entered Sri Lanka's television history by offering island-wide coverage from day one. 

Hiru TV combines high definition technology and quality program lineups to provide television audiences with an unmatched array of entertainment options. Viewers can enjoy programs ranging from teledramas to documentaries or simply watch their favourite song videos on music shows. 

With the option of watching live telecasts on TV or online, hours of entertainment is guaranteed to viewers. Hiru TV,a proud brand of the Asia Broadcasting Corporation Private limited, a member of Rayynor Silva holdings.",LK,2011-07-29T07:23:22Z,UU2sO_F_Ky4LIAUtSJYXqBDA,https://en.wikipedia.org/wiki/Film|https://en.wikipedia.org/wiki/Entertainment|https://en.wikipedia.org/wiki/Television_program
UCEUSUxrhCt4n0Pp9WB7q7-w,SLTMobitel,Welcome to the official YouTube Channel of SLTMobitel Sri Lanka.,LK,2010-04-05T07:45:54Z,UUEUSUxrhCt4n0Pp9WB7q7-w,https://en.wikipedia.org/wiki/Lifestyle_(sociology)|https://en.wikipedia.org/wiki/Society|https://en.wikipedia.org/wiki/Technology
