video_id,channel_id,title,description,tags,published_at,category_id,category_name,duration,definition,caption,default_audio_language,default_language,thumbnail_url,made_for_kids
B2M6e14z_AU,UCOtYyt7W5PmPnwQjWWF_Z-Q,හසරැලිට පාඩම් කියලා දෙන්නද යන්නේ ආදේශයෝ 😂,"හසරැලිට පාඩම් කියලා දෙන්නද යන්නේ ආදේශයෝ 😂

𝗙𝗨𝗟𝗟 𝗘𝗣𝗜𝗦𝗢𝗗𝗘 👉 https://hiru.lk/ybfQW4
Ron Soyaa - රොන් සොයා | සතියේ දින පහේම රාත්‍රී 8.30 ට හිරු TV තුළින්...

#HiruTV #RonSoyaaHiruTV  #HiruTVLK #HiruTVDigital",hiru tv|hiru tv digital|hiru tv sri lanka|hiru tv live|hiru tv official|hiru tv lk|hiru tv dramas|hiru tv teledramas|dramas hiru tv|teledramas hiru tv|hiru dramas|hiru teledramas|hiru tv programs|hiru tv drama clips|paata kurullo|hiru tv paata kurullo|ron soyaa|hiru tv ron soyaa|akurata yana welawe|podi waddo|happy hour|agara dagara|copy chat|Hiru Kumaru Adare Genalla|Amma|Tharu Adare|Sri Lanka Teledrama|Hiru TV Teledrama,2026-07-17T16:06:49Z,24,Entertainment,PT6M17S,hd,false,si,si,https://i.ytimg.com/vi/B2M6e14z_AU/hqdefault.jpg,False
nmPZvqcMp_c,UCRDDfbYPHX_GUJ4lcQYTc8A,Sitha Nidi Na (සිත නිදි නෑ) | Episode 724 | 17th July 2026 | TV Derana,"Sitha Nidi Na (සිත නිදි නෑ) | Episode 724 | 17th July 2026 | TV Derana

Watch TV Derana Programmes & More Updates
https://www.youtube.com/channel/UCRDDfbYPHX_GUJ4lcQYTc8A

Director : Thilina Borelassa
Producer : Janaka Siriwardana
Music Director : Thilina Tharaka
Script Writer : Lakshan Waththuhewa 

Follow us on
🔗 Facebook 👉🏼 https://www.facebook.com/tvderanaofficial
🔗 Instagram 👉🏼 https://www.instagram.com/tv_derana
🔗 Twitter 👉🏼 https://twitter.com/tvderana
🔗 TikTok 👉🏼 https://www.tiktok.com/@tvderanaofficial

TV Derana
SRI LANKA'S PREMIUM ENTERTAINMENT EXPERIENCE

#TVDerana #DeranaLK #sithanidina #sithanidinateledrama",TV Derana|Derana TV|Derana Teledramas|DeranaLK|TV Derana Offcial|Derana Programs|Derana Entertainment|Derana Viral Clips|Tv Derana New|Sitha Nidi Na (සිත නිදි නෑ) | Episode 651 | 02nd April 2026|Sitha Nidi Na|Sitha Nidi Na Teledrama|සිත නිදි නැ|sitha nidi na derana|tv derana live|tv derana teledrama|Janaka Siriwardana|Thilina Borelassa|Anoma Wijayawardana|sitha nidi na yesterday|Sitha Nidi Na (සිත නිදි නෑ) | Episode 724 | 17th July 2026 | TV Derana,2026-07-17T13:30:06Z,24,Entertainment,PT19M32S,hd,false,en,en,https://i.ytimg.com/vi/nmPZvqcMp_c/hqdefault.jpg,False
EeCkVtqQ6uI,UCckltLEhFLv8Xz_lQhYfwmg,ඩෙංගු දහදෙනෙක්ට හැදෙනකම් දුම් ගහන්න එපා කිව්වා... දැන් මුළු ගමටම දුම් ගහනවා - Hiru News,"ඩෙංගු දහදෙනෙක්ට හැදෙනකම් දුම් ගහන්න එපා කිව්වා... දැන් මුළු ගමටම දුම් ගහනවා. ටී-ෂර්ට් ඇන්දුවට පාරවල් සුද්ධ වෙන්නේ නෑ - Hiru News

#HiruMedia #HiruSinhalaNews #HiruEnglishNews #LKA #Srilanka #TruthAtAllCosts",hiru news|hiru tv|hiru tv news|hiru news live|hiru tv news live|hiru news today|හිරු|හිරු ප්‍රවෘත්ති|හිරු නිවුස්|hiru news 11.55|hiru news 6.55|hiru news 9.55|breaking news|latest news|sri lanka news|sinhala news|english news|HiruMedia|News 2024,2026-07-17T15:06:31Z,25,News & Politics,PT7M18S,hd,false,si,si,https://i.ytimg.com/vi/EeCkVtqQ6uI/hqdefault.jpg,False
J59FhF4buqY,UCgnFSj7jQffD5V5m05j4dPw,අද අර්චුනා අදත් ලෙඩක් දා ගනී!,"අද අර්චුනා අදත් ලෙඩක් දා ගනී!
''ශිව පූජාවට වලහෙක් රිංගුවා වගේ, උමතු පුද්ගලයෙක් ඇතුළු වෙලා රැස්වීමට.''- අමාත්‍ය රාමලිංගම් චන්ද්‍රසේකර්
#LKA #News1st #SL #Srilanka #WEGO #NAS
Newsfirst.lk is a leading news website in Sri Lanka that provides a wide range of news and information on current events, politics, sports, weather, exams, business, entertainment, and world news. The website is known for its comprehensive coverage of breaking news and top stories from around the country and is a reliable source of up-to-date news and information. In addition to its news coverage, Newsfirst.lk also offers a variety of features and multimedia content, including video reports, podcasts, and photo galleries. Overall, Newsfirst.lk is an excellent resource for staying informed about the latest developments in Sri Lanka and around the world.


👉 Facebook Channel: https://m.me/j/AbaQ5X0ZEJrNW3q2/
👉 Whatsapp Channel එකට එකතු වෙන්න https://news1st.lk/WhatsappChannel
👉 Subscribe us: https://www.youtube.com/NewsFirstSrilanka

👉 JOIN US 
📌 Whatsapp - https://news1st.lk/whatsappg9
📌 Telegram - https://news1st.lk/Telegram  
📌 Viber - https://news1st.lk/viber  

👉 FOLLOW US    
📌Instagram - https://news1st.lk/instagram 
📌Youtube - https://news1st.lk/youtube 
📌Twitter - https://news1st.lk/twitter 
📌Tiktok - https://news1st.lk/tiktok 
📌Facebook - https://news1st.lk/facebook



Web: www.newsfirst.lk
Email: contact@newsfirst.lk
Telephone: +94 114792700

#News1st #SirasaTV #SirasaNews #BreakingNews #NewsLive #NewsfirstDigital #WithThePeople #NewsAtSeven #NewsAtTen  #WeReportYouDecide",breaking news sri lanka|cricket sri lanka|English news|Investigative journalism|Live streaming|sirasa news|sirasa tv|sri lanka|Sri Lanka news|Sri Lanka politics|Sri Lanka sports|TV news|ලංකා නිවුස්|ශ්‍රී ලංකා ප්‍රවෘත්ති|සිංහල නිව්ස්|news1st|Newsfirst Sri Lanka|Breaking News|Sri Lanka News Today|Sri Lanka News Live|Sri Lanka News Sinhala,2026-07-16T18:17:22Z,22,People & Blogs,PT4M12S,hd,false,si,si,https://i.ytimg.com/vi/J59FhF4buqY/hqdefault.jpg,False
FJJ2BIdve3s,UCgnFSj7jQffD5V5m05j4dPw,ජ්‍යෙෂ්ඨ නියෝජ්‍ය පොලිස්පතිවරුන් දෙපළකට ස්ථාන මාරුවීම්.,"ජ්‍යෙෂ්ඨ නියෝජ්‍ය පොලිස්පතිවරුන් දෙපළකට ස්ථාන මාරුවීම්.
#LKA #News1st #SL #Srilanka
Newsfirst.lk is a leading news website in Sri Lanka that provides a wide range of news and information on current events, politics, sports, weather, exams, business, entertainment, and world news. The website is known for its comprehensive coverage of breaking news and top stories from around the country and is a reliable source of up-to-date news and information. In addition to its news coverage, Newsfirst.lk also offers a variety of features and multimedia content, including video reports, podcasts, and photo galleries. Overall, Newsfirst.lk is an excellent resource for staying informed about the latest developments in Sri Lanka and around the world.


👉 Facebook Channel: https://m.me/j/AbaQ5X0ZEJrNW3q2/
👉 Whatsapp Channel එකට එකතු වෙන්න https://news1st.lk/WhatsappChannel
👉 Subscribe us: https://www.youtube.com/NewsFirstSrilanka

👉 JOIN US 
📌 Whatsapp - https://news1st.lk/whatsappg9
📌 Telegram - https://news1st.lk/Telegram  
📌 Viber - https://news1st.lk/viber  

👉 FOLLOW US    
📌Instagram - https://news1st.lk/instagram 
📌Youtube - https://news1st.lk/youtube 
📌Twitter - https://news1st.lk/twitter 
📌Tiktok - https://news1st.lk/tiktok 
📌Facebook - https://news1st.lk/facebook



Web: www.newsfirst.lk
Email: contact@newsfirst.lk
Telephone: +94 114792700

#News1st #SirasaTV #SirasaNews #BreakingNews #NewsLive #NewsfirstDigital #WithThePeople #NewsAtSeven #NewsAtTen  #WeReportYouDecide",breaking news sri lanka|cricket sri lanka|English news|Investigative journalism|Live streaming|sirasa news|sirasa tv|sri lanka|Sri Lanka news|Sri Lanka politics|Sri Lanka sports|TV news|ලංකා නිවුස්|ශ්‍රී ලංකා ප්‍රවෘත්ති|සිංහල නිව්ස්|news1st|Newsfirst Sri Lanka|Breaking News|Sri Lanka News Today|Sri Lanka News Live|Sri Lanka News Sinhala,2026-07-17T09:02:01Z,22,People & Blogs,PT32S,hd,false,si,si,https://i.ytimg.com/vi/FJJ2BIdve3s/hqdefault.jpg,False
_ianYSYpImc,UCckltLEhFLv8Xz_lQhYfwmg,"ලංකාවේ විපක්ෂය කැඳ හැලියක්..ආණ්ඩුව අච්චාරුවක්..""කාල බලන්නත් එපා බීලා බලන්නත් එපා"" - Hiru News","ලංකාවේ විපක්ෂය කැඳ හැලියක්..ආණ්ඩුව අච්චාරුවක්..
""කාල බලන්නත් එපා බීලා බලන්නත් එපා"" - Hiru News

#HiruMedia #HiruSinhalaNews #HiruEnglishNews #LKA #Srilanka #TruthAtAllCosts",hiru news|hiru tv|hiru tv news|hiru news live|hiru tv news live|hiru news today|හිරු|හිරු ප්‍රවෘත්ති|හිරු නිවුස්|hiru news 11.55|hiru news 6.55|hiru news 9.55|breaking news|latest news|sri lanka news|sinhala news|english news|HiruMedia|News 2024,2026-07-17T09:49:49Z,25,News & Politics,PT51S,hd,false,si,si,https://i.ytimg.com/vi/_ianYSYpImc/hqdefault.jpg,False
YlNLTWRgvWI,UCOtYyt7W5PmPnwQjWWF_Z-Q,හසරැලිට පාඩම් කියලා දෙන්නද යන්නේ ආදේශයෝ 😂,"හසරැලිට පාඩම් කියලා දෙන්නද යන්නේ ආදේශයෝ 😂

𝗙𝗨𝗟𝗟 𝗘𝗣𝗜𝗦𝗢𝗗𝗘 👉 https://hiru.lk/ybfQW4
Ron Soyaa - රොන් සොයා | සතියේ දින පහේම රාත්‍රී 8.30 ට හිරු TV තුළින්...

#HiruTV #RonSoyaaHiruTV  #HiruTVLK #HiruTVDigital",hiru tv|hiru tv digital|hiru tv sri lanka|hiru tv live|hiru tv official|hiru tv lk|hiru tv dramas|hiru tv teledramas|dramas hiru tv|teledramas hiru tv|hiru dramas|hiru teledramas|hiru tv programs|hiru tv drama clips|paata kurullo|hiru tv paata kurullo|ron soyaa|hiru tv ron soyaa|akurata yana welawe|podi waddo|happy hour|agara dagara|copy chat|Hiru Kumaru Adare Genalla|Amma|Tharu Adare|Sri Lanka Teledrama|Hiru TV Teledrama,2026-07-17T16:29:31Z,24,Entertainment,PT1M54S,hd,false,si,si,https://i.ytimg.com/vi/YlNLTWRgvWI/hqdefault.jpg,False
I6v1ht7ktsk,UCCK3OZi788Ok44K97WAhLKQ,ජනපති සහ බන්ධනාගාර නිලධාරීන් අතර හමුවක් - මීගමුවේ ගැටුම ගැනත් ජනපතිගේ විශේෂ අවධානය | Ada Derana,"Ada Derana | ශ්‍රී ලංකාවේ විශ්වසනීය හා ප්‍රමුඛතම පුවත් සපයන්නා

ජනපති සහ බන්ධනාගාර නිලධාරීන් අතර හමුවක් - මීගමුවේ ගැටුම ගැනත් ජනපතිගේ විශේෂ අවධානය | Ada Derana

#AdaDerana #News #SriLankaNews #LatestNews #DeranaNews #TVDerana #TrendingNews #ViralNews #SriLanka #SLnews",AdaDerana|News|TvDerana|Sri Lanka|Colombo News|sri lanka news|news today|news derana|news ada derana|ada derana news|news sri lanka|news now|adaderananews|ada derana|latest news|derana news|today news|2026,2026-07-17T17:51:30Z,25,News & Politics,PT51S,hd,false,si,si,https://i.ytimg.com/vi/I6v1ht7ktsk/hqdefault.jpg,False
82PbS78Hwao,UCOtYyt7W5PmPnwQjWWF_Z-Q,තාත්තාගෙම පුතා නේ 😄,"තාත්තාගෙම පුතා නේ 😄

𝗙𝗨𝗟𝗟 𝗘𝗣𝗜𝗦𝗢𝗗𝗘 👉 https://hiru.lk/ad80kX
Amma - අම්මා | සතියේ දින පහේම සවස 6.30 ට හිරු TV තුළින්...

#HiruTV #Amma  #AmmaHiruTV  #HiruTVDigital",hiru tv|hiru tv digital|hiru tv sri lanka|hiru tv live|hiru tv official|hiru tv lk|hiru tv dramas|hiru tv teledramas|dramas hiru tv|teledramas hiru tv|hiru dramas|hiru teledramas|hiru tv programs|hiru tv drama clips|paata kurullo|hiru tv paata kurullo|ron soyaa|hiru tv ron soyaa|akurata yana welawe|podi waddo|happy hour|agara dagara|copy chat|Hiru Kumaru Adare Genalla|Amma|Tharu Adare|Sri Lanka Teledrama|Hiru TV Teledrama,2026-07-17T14:07:01Z,24,Entertainment,PT3M1S,hd,false,si,si,https://i.ytimg.com/vi/82PbS78Hwao/hqdefault.jpg,False
0ecOSM8Z6Zs,UCckltLEhFLv8Xz_lQhYfwmg,"පොල්පොට්වාදී පාලනයකට ද මේ යන්නේ? - ""අපේ රටෙත් ළඟකදි ඉඳන් බල නහර කැපෙනවා, වෙඩි තියාගන්නවා""","පොල්පොට්වාදී පාලනයකට ද මේ යන්නේ? - ""අපේ රටෙත් ළඟකදි ඉඳන් බල නහර කැපෙනවා, වෙඩි තියාගන්නවා""  - Hiru News

#HiruMedia #HiruSinhalaNews #HiruEnglishNews #LKA #Srilanka #TruthAtAllCosts",hiru news|hiru tv|hiru tv news|hiru news live|hiru tv news live|hiru news today|හිරු|හිරු ප්‍රවෘත්ති|හිරු නිවුස්|hiru news 11.55|hiru news 6.55|hiru news 9.55|breaking news|latest news|sri lanka news|sinhala news|english news|HiruMedia|News 2024,2026-07-17T14:59:27Z,25,News & Politics,PT34S,hd,false,si,si,https://i.ytimg.com/vi/0ecOSM8Z6Zs/hqdefault.jpg,False
XCrAHa6hRq8,UCCK3OZi788Ok44K97WAhLKQ,සලේගේ බිරිඳයි පුතයි උසාවි එයි| Ada Derana,"Ada Derana | ශ්‍රී ලංකාවේ විශ්වසනීය හා ප්‍රමුඛතම පුවත් සපයන්නා

සලේගේ බිරිඳයි පුතයි
උසාවි එයි

පාස්කු ඉරුදින ත්‍රස්ත ප්‍රහාර සිද්ධිය සම්බන්ධයෙන් සිදු කරන විමර්ශනවලට අදාළව තමන්ව අත්අඩංගුවට ගෙන රඳවා ගැනීම අභියෝගයට ලක් කරමින් රාජ්‍ය බුද්ධි සේවයේ හිටපු අධ්‍යක්ෂ සුරේෂ් සලේ මහතා විසින් ඉදිරිපත් කළ රිට් පෙත්සම පිළිබඳ වැඩිදුර කරුණු සලකා බැලීම ලබන 21වනදා දක්වා කල්තැබීමට අභියාචනාධිකරණය අද (17) නියම කළේය.

නඩු කටයුතු සඳහා සුරේෂ් සලේගේ බිරිඳ සහ පුතා ද අධිකරණ පරිශ්‍රය වෙත පැමිණ තිබුණි.

#AdaDerana #News #SriLankaNews #LatestNews #DeranaNews #TVDerana #TrendingNews #ViralNews #SriLanka #SLnews",AdaDerana|News|TvDerana|Sri Lanka|Colombo News|sri lanka news|news today|news derana|news ada derana|ada derana news|news sri lanka|news now|adaderananews|ada derana|latest news|derana news|today news|2026,2026-07-17T09:53:33Z,25,News & Politics,PT1M,hd,false,si,si,https://i.ytimg.com/vi/XCrAHa6hRq8/hqdefault.jpg,False
